elapsed_s,total_sent_bytes,total_recv_bytes,delta_sent_bps,delta_recv_bps,delta_total_bps,delta_sent_gbps,delta_recv_gbps,delta_total_gbps,uploaded_bytes,uploaded_gbps_from_callback
16.525247,113770661730,1452383683485,2272718.751,98380576.083,100653294.834,0.002272719,0.098380576,0.100653295,56045508,0.000000000
16.775685,113771735642,1452386763480,34305075.335,98387447.489,132692522.825,0.034305075,0.098387447,0.132692523,59191236,0.100487224
17.026057,113774736739,1452389837398,95892329.137,98219136.734,194111465.871,0.095892329,0.098219137,0.194111466,60239812,0.033504547
17.276475,113777802080,1452392897090,97926940.389,97746474.566,195673414.955,0.097926940,0.097746475,0.195673415,63385540,0.100495024
17.526823,113780838162,1452395957132,97019608.407,97785262.897,194804871.304,0.097019608,0.097785263,0.194804871,66531268,0.100523404
17.777146,113783446404,1452399021540,83356121.248,97934610.669,181290731.918,0.083356121,0.097934611,0.181290732,68628420,0.067022330
18.027507,113784841154,1452402086844,44567618.866,97948234.723,142515853.588,0.044567619,0.097948235,0.142515854,69166240,0.017185414
18.277835,113784909232,1452405155241,2175642.992,98060113.848,100235756.841,0.002175643,0.098060114,0.100235757,69166240,0.000000000
18.528165,113784980724,1452408234818,2284729.428,98416608.804,100701338.231,0.002284729,0.098416609,0.100701338,69166240,0.000000000
18.778492,113785052141,1452411316049,2282362.787,98470769.865,100753132.652,0.002282363,0.098470770,0.100753133,69166240,0.000000000
19.028822,113785124615,1452414394517,2316107.764,98380986.778,100697094.542,0.002316108,0.098380987,0.100697095,69166240,0.000000000
19.279163,113786834301,1452417474718,54635439.969,98432189.788,153067629.757,0.054635440,0.098432190,0.153067630,72311968,0.100526198
19.529500,113789885360,1452420538698,97502365.116,97915280.127,195417645.243,0.097502365,0.097915280,0.195417645,74409120,0.067018461
19.779825,113792625100,1452423601991,87557785.179,97898030.628,185455815.807,0.087557785,0.097898031,0.185455816,76506272,0.067021682
20.030157,113794872585,1452426672800,71824108.571,98135524.382,169959632.953,0.071824109,0.098135524,0.169959633,78603424,0.067019835
20.280546,113797110617,1452429742708,71505881.263,98084601.532,169590482.795,0.071505881,0.098084602,0.169590483,80700576,0.067004717
20.530857,113799337737,1452432810519,71179394.189,98048119.755,169227513.944,0.071179394,0.098048120,0.169227514,82797728,0.067025580
20.781166,113801583655,1452435879155,71780490.219,98074905.844,169855396.063,0.071780490,0.098074906,0.169855396,84824674,0.064782052
21.031483,113802113366,1452438947621,16929288.303,98066578.877,114995867.180,0.016929288,0.098066579,0.114995867,84824674,0.000000000
21.281804,113802183473,1452442021145,2240548.972,98226725.434,100467274.406,0.002240549,0.098226725,0.100467274,84824674,0.000000000
21.532138,113802255003,1452445103164,2285903.418,98492908.792,100778812.210,0.002285903,0.098492909,0.100778812,84824674,0.000000000
21.782468,113802440683,1452448182816,5933941.937,98419195.139,104353137.075,0.005933942,0.098419195,0.104353137,84824674,0.000000000
22.032800,113802515793,1452451260453,2400327.037,98353552.136,100753879.172,0.002400327,0.098353552,0.100753879,84933615,0.003481481
22.283136,113802586586,1452454343470,2262334.021,98524066.579,100786400.600,0.002262334,0.098524067,0.100786401,84933615,0.000000000
22.533454,113802958968,1452457420611,11901105.359,98343580.642,110244686.001,0.011901105,0.098343581,0.110244686,88079343,0.100535580
22.783787,113806012843,1452460497307,97594140.067,98323441.649,195917581.716,0.097594140,0.098323442,0.195917582,89127919,0.033509843
23.034148,113808736497,1452463557673,87030952.088,97790162.303,184821114.392,0.087030952,0.097790162,0.184821114,91225071,0.067011865
23.284477,113811014579,1452466626504,72802801.824,98073508.823,170876310.647,0.072802802,0.098073509,0.170876311,93322223,0.067020652
23.534816,113813248237,1452469695588,71380483.346,98077995.534,169458478.880,0.071380483,0.098077996,0.169458479,95419375,0.067018193
23.785127,113815498090,1452472764882,71905860.927,98095398.903,170001259.830,0.071905861,0.098095399,0.170001260,97516527,0.067025499
24.035481,113817707696,1452475833631,70607195.591,98060813.042,168668008.632,0.070607196,0.098060813,0.168668009,98949920,0.045803578
24.285813,113817850646,1452478902759,4568344.166,98082077.613,102650421.780,0.004568344,0.098082078,0.102650422,98949920,0.000000000
24.536145,113817922798,1452481977765,2305798.266,98269535.183,100575333.449,0.002305798,0.098269535,0.100575333,98949920,0.000000000
24.786489,113817999202,1452485059352,2441565.924,98475182.091,100916748.016,0.002441566,0.098475182,0.100916748,98949920,0.000000000
25.036824,113818186018,1452488139351,5970132.727,98428415.279,104398548.005,0.005970133,0.098428415,0.104398548,98949920,0.000000000
25.287149,113818259468,1452491215844,2347344.715,98319803.732,100667148.447,0.002347345,0.098319804,0.100667148,99058861,0.003481580
25.537549,113818333337,1452494295491,2360030.610,98391222.152,100751252.762,0.002360031,0.098391222,0.100751253,99058861,0.000000000
25.787897,113818823837,1452497374517,15674171.523,98391807.639,114065979.162,0.015674172,0.098391808,0.114065979,102204589,0.100523303
26.038227,113821853622,1452500448187,96825505.143,98227976.702,195053481.845,0.096825505,0.098227977,0.195053482,103253165,0.033510266
26.288568,113824923642,1452503507489,98106785.851,97764277.160,195871063.011,0.098106786,0.097764277,0.195871063,105350317,0.067017427
26.538898,113827976648,1452506565829,97567268.946,97737731.700,195305000.646,0.097567269,0.097737732,0.195305001,109544621,0.134040610
26.789246,113830707415,1452509624749,87263282.598,97749606.761,185012889.359,0.087263283,0.097749607,0.185012889,112690349,0.100523608
27.039572,113833486804,1452512689421,88824352.085,97941491.728,186765843.813,0.088824352,0.097941492,0.186765844,113738925,0.033510633
27.289928,113836530402,1452515751578,97256698.097,97849741.942,195106440.040,0.097256698,0.097849742,0.195106440,115836077,0.067013475
27.540316,113839577198,1452518810252,97346486.427,97725993.807,195072480.234,0.097346486,0.097725994,0.195072480,116884653,0.033502469
27.790647,113840372011,1452521876778,25400408.617,97999168.906,123399577.523,0.025400409,0.097999169,0.123399578,116884653,0.000000000
28.040970,113842016667,1452524943903,52560990.905,98021184.509,150582175.414,0.052560991,0.098021185,0.150582175,116884653,0.000000000
28.291315,113842598441,1452528018984,18591120.879,98267029.096,116858149.975,0.018591121,0.098267029,0.116858150,116884653,0.000000000
28.541639,113842830137,1452531096306,7404677.463,98346872.022,105751549.485,0.007404677,0.098346872,0.105751549,116884653,0.000000000
28.791970,113844555725,1452534163272,55145830.054,98013190.760,153159020.813,0.055145830,0.098013191,0.153159021,116884653,0.000000000
29.042302,113844754909,1452537242056,6365428.549,98390330.390,104755758.939,0.006365429,0.098390330,0.104755759,116884653,0.000000000
29.292644,113844955967,1452540319806,6425079.804,98353655.989,104778735.793,0.006425080,0.098353656,0.104778736,116884653,0.000000000
29.542990,113845092721,1452543400198,4370064.308,98435958.987,102806023.296,0.004370064,0.098435959,0.102806023,116884653,0.000000000
29.793316,113845233015,1452546478443,4483562.797,98375588.143,102859150.941,0.004483563,0.098375588,0.102859151,116884653,0.000000000
30.043649,113845377329,1452549557509,4611918.023,98399323.560,103011241.584,0.004611918,0.098399324,0.103011242,116884653,0.000000000
30.293972,113845520921,1452552637547,4589010.923,98433951.917,103022962.840,0.004589011,0.098433952,0.103022963,116884653,0.000000000
30.544304,113845670923,1452555716860,4793699.367,98407359.760,103201059.127,0.004793699,0.098407360,0.103201059,116884653,0.000000000
30.794630,113845825031,1452558792258,4925037.573,98284649.086,103209686.658,0.004925038,0.098284649,0.103209687,116884653,0.000000000
31.044955,113845982167,1452561873668,5021808.082,98476794.897,103498602.980,0.005021808,0.098476795,0.103498603,116884653,0.000000000
31.295301,113846215343,1452564952670,7451331.458,98392049.186,105843380.644,0.007451331,0.098392049,0.105843381,116884653,0.000000000
31.545665,113846281793,1452568029490,2123307.437,98315045.712,100438353.149,0.002123307,0.098315046,0.100438353,116884653,0.000000000
31.796025,113846351732,1452571114413,2234831.693,98575668.662,100810500.355,0.002234832,0.098575669,0.100810500,117015222,0.004172203
32.046347,113846987503,1452574187900,20318510.779,98225113.664,118543624.443,0.020318511,0.098225114,0.118543624,117015222,0.000000000
32.296688,113847724553,1452577265284,23553491.690,98342227.084,121895718.775,0.023553492,0.098342227,0.121895719,117015222,0.000000000
32.547033,113847815031,1452580341132,2891299.461,98291271.518,101182570.979,0.002891299,0.098291272,0.101182571,117015222,0.000000000
32.797351,113848480364,1452583415983,21263589.067,98270141.577,119533730.644,0.021263589,0.098270142,0.119533731,117124163,0.003481680
33.047674,113848678229,1452586494183,6323521.595,98375479.102,104699000.696,0.006323522,0.098375479,0.104699001,117124163,0.000000000
33.298007,113850796515,1452589558287,67695070.445,97921024.891,165616095.336,0.067695070,0.097921025,0.165616095,121318467,0.134039362
33.548360,113851167121,1452592635681,11842669.345,98337748.410,110180417.755,0.011842669,0.098337748,0.110180418,121318467,0.000000000
33.798686,113851541511,1452595714115,11964854.139,98381403.852,110346257.991,0.011964854,0.098381404,0.110346258,121318467,0.000000000
34.049014,113852078093,1452598789033,17148148.061,98268576.170,115416724.230,0.017148148,0.098268576,0.115416724,121318467,0.000000000
34.299359,113852738757,1452601867597,21112112.525,98378282.428,119490394.953,0.021112113,0.098378282,0.119490395,123007536,0.053975720
34.549706,113853663855,1452604941844,29562117.379,98239592.634,127801710.013,0.029562117,0.098239593,0.127801710,123007536,0.000000000
34.800062,113855109581,1452608017945,46197425.428,98295214.002,144492639.430,0.046197425,0.098295214,0.144492639,124056112,0.033506703
35.050392,113857489369,1452611084547,76052920.151,98002022.467,174054942.618,0.076052920,0.098002022,0.174054943,125104688,0.033510240
35.300733,113860541313,1452614146187,97528971.329,97838820.038,195367791.367,0.097528971,0.097838820,0.195367791,127201840,0.067017310
35.551069,113863583583,1452617204139,97222052.111,97723202.969,194945255.080,0.097222052,0.097723203,0.194945255,129298992,0.067018845
35.801418,113865998502,1452620270990,77169488.326,98002178.310,175171666.636,0.077169488,0.098002178,0.175171667,131396144,0.067015145
36.051763,113868207472,1452623340112,70589687.221,98076642.971,168666330.193,0.070589687,0.098076643,0.168666330,133493296,0.067016439
36.302098,113870477796,1452626409692,72553168.810,98095142.330,170648311.140,0.072553169,0.098095142,0.170648311,135590448,0.067019079
36.552429,113871233884,1452629478813,24162890.635,98082280.194,122245170.829,0.024162891,0.098082280,0.122245171,135590448,0.000000000
36.802794,113871306438,1452632552219,2318336.043,98205307.818,100523643.860,0.002318336,0.098205308,0.100523644,135590448,0.000000000
37.053125,113871377224,1452635630557,2262162.787,98376821.264,100638984.051,0.002262163,0.098376821,0.100638984,135590448,0.000000000
37.303461,113871449601,1452638712287,2312952.163,98482861.548,100795813.711,0.002312952,0.098482862,0.100795814,135590448,0.000000000
37.553784,113874451842,1452641788542,95947896.228,98313291.808,194261188.036,0.095947896,0.098313292,0.194261188,138736176,0.100533563
37.804119,113877155021,1452644855513,86385668.514,98011393.307,184397061.820,0.086385669,0.098011393,0.184397062,141478306,0.087630428
